  Muni Age    Pop
120050   0    400
120050   1   1721
120050   5   2299
120050  10   2433
120050  15   2166
120050  20   2011
120050  25   1802
120050  30   1530
120050  35   1151
120050  40    930
120050  45    800
120050  50    665
120050  55    521
120050  60    395
120050  65    334
120050  70    202
120050  75    183
120050  80    196
120045   0    201
120045   1    818
120045   5   1145
120045  10   1209
120045  15   1014
120045  20    901
120045  25    864
120045  30    760
120045  35    714
120045  40    592
120045  45    471
120045  50    432
120045  55    324
120045  60    245
120045  65    246
120045  70    163
120045  75    111
120045  80    118
120060   0    517
120060   1   2075
120060   5   2552
120060  10   2541
120060  15   2092
120060  20   1618
120060  25   1512
120060  30   1170
120060  35    929
120060  40    771
120060  45    647
120060  50    460
120060  55    418
120060  60    303
120060  65    241
120060  70    196
120060  75    152
120060  80    159
120070   0    131
120070   1    672
120070   5    906
120070  10   1032
120070  15    888
120070  20    731
120070  25    708
120070  30    575
120070  35    567
120070  40    462
120070  45    351
120070  50    328
120070  55    261
120070  60    234
120070  65    159
120070  70    124
120070  75     85
120070  80    103
130002   0    240
130002   1    894
130002   5   1128
130002  10    948
130002  15    843
130002  20    680
130002  25    555
130002  30    490
130002  35    370
130002  40    303
130002  45    248
130002  50    183
130002  55    166
130002  60    113
130002  65     93
130002  70     76
130002  75     47
130002  80     39
130006   0    151
130006   1    504
130006   5    570
130006  10    673
130006  15    530
130006  20    503
130006  25    370
130006  30    360
130006  35    319
130006  40    232
130006  45    188
130006  50    127
130006  55    112
130006  60     88
130006  65     73
130006  70     47
130006  75     22
130006  80     33
130008   0    100
130008   1    509
130008   5    678
130008  10    743
130008  15    598
130008  20    529
130008  25    448
130008  30    421
130008  35    344
130008  40    266
130008  45    228
130008  50    143
130008  55    101
130008  60     95
130008  65     95
130008  70     68
130008  75     41
130008  80     39
130010   0    196
130010   1    839
130010   5   1056
130010  10   1134
130010  15    958
130010  20    816
130010  25    670
130010  30    641
130010  35    528
130010  40    429
130010  45    325
130010  50    233
130010  55    182
130010  60    129
130010  65    137
130010  70    100
130010  75     64
130010  80     74
130014   0    141
130014   1    663
130014   5    920
130014  10   1045
130014  15    908
130014  20    957
130014  25    855
130014  30    858
130014  35    684
130014  40    598
130014  45    518
130014  50    431
130014  55    349
130014  60    270
130014  65    168
130014  70     94
130014  75     50
130014  80     42
130020   0    222
130020   1    833
130020   5    949
130020  10    988
130020  15    968
130020  20    895
130020  25    692
130020  30    521
130020  35    431
130020  40    347
130020  45    285
130020  50    184
130020  55    161
130020  60    122
130020  65     97
130020  70     62
130020  75     58
130020  80     37
130030   0    401
130030   1   1729
130030   5   2214
130030  10   2256
130030  15   1852
130030  20   1402
130030  25   1227
130030  30   1128
130030  35    895
130030  40    847
130030  45    756
130030  50    550
130030  55    489
130030  60    374
130030  65    310
130030  70    203
130030  75    177
130030  80    179
130040   0    277
130040   1   1023
130040   5   1435
130040  10   1723
130040  15   1548
130040  20   1657
130040  25   1456
130040  30   1016
130040  35    757
130040  40    681
130040  45    527
130040  50    491
130040  55    382
130040  60    252
130040  65    309
130040  70    147
130040  75     83
130040  80     52
130050   0    362
130050   1   1578
130050   5   2110
130050  10   2003
130050  15   1638
130050  20   1158
130050  25   1036
130050  30    877
130050  35    753
130050  40    573
130050  45    527
130050  50    424
130050  55    362
130050  60    255
130050  65    224
130050  70    176
130050  75    110
130050  80    146
130060   0    500
130060   1   1993
130060   5   2329
130060  10   2207
130060  15   1993
130060  20   1634
130060  25   1378
130060  30   1103
130060  35    877
130060  40    756
130060  45    607
130060  50    493
130060  55    384
130060  60    290
130060  65    269
130060  70    155
130060  75    136
130060  80    156
130063   0    225
130063   1    926
130063   5   1247
130063  10   1094
130063  15    910
130063  20    698
130063  25    577
130063  30    444
130063  35    435
130063  40    330
130063  45    290
130063  50    235
130063  55    206
130063  60    151
130063  65    129
130063  70    110
130063  75     76
130063  80     63
130068   0    195
130068   1    787
130068   5   1088
130068  10   1104
130068  15    947
130068  20    701
130068  25    622
130068  30    527
130068  35    428
130068  40    332
130068  45    298
130068  50    227
130068  55    216
130068  60    147
130068  65    110
130068  70     76
130068  75     64
130068  80     76
130070   0    309
