Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
270560 Novo Lino;1;1;3;0;5;2;0;1;1;1;0;0;0;0;1;1;1;1;1;1;2;4;1;23
270570 Olho d'Água das Flores;2;0;7;0;9;3;0;0;1;0;0;1;2;1;1;1;0;4;2;9;6;15;0;55
270580 Olho d'Água do Casado;0;0;6;0;6;1;1;0;0;0;0;0;0;0;0;0;0;1;3;1;0;2;0;15
270590 Olho d'Água Grande;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;5
270600 Olivença;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;1;11;0;20
270610 Ouro Branco;0;1;2;0;3;1;0;0;0;0;0;1;0;0;1;2;0;0;1;0;1;9;0;19
270620 Palestina;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;3;6;0;15
270630 Palmeira dos Índios;5;2;11;0;18;4;0;0;2;2;1;4;2;5;6;9;14;12;12;19;15;67;1;193
270640 Pão de Açúcar;2;0;4;0;6;2;1;0;0;0;0;1;0;0;1;0;3;4;3;5;1;13;0;40
270642 Pariconha;0;0;1;0;1;2;1;0;0;0;0;0;1;0;0;0;1;0;1;1;2;8;0;18
270644 Paripueira;1;0;3;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;2;2;0;12
270650 Passo de Camaragibe;0;0;1;0;1;0;0;0;0;0;0;1;0;1;2;0;2;0;2;1;1;6;0;17
270660 Paulo Jacinto;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;2;0;4;3;0;14
270670 Penedo;5;0;17;0;22;7;1;1;3;1;1;0;4;0;5;7;4;9;13;12;15;45;0;150
270680 Piaçabuçu;2;0;6;0;8;1;1;0;0;0;0;0;1;2;1;2;2;3;3;1;6;10;0;41
270690 Pilar;3;1;6;0;10;3;0;2;0;1;3;2;1;4;3;4;3;5;10;8;7;15;1;82
270710 Piranhas;3;0;3;0;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;9
270720 Poço das Trincheiras;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;9;1;13
270730 Porto Calvo;7;2;9;0;18;6;0;0;0;2;1;0;1;2;2;2;2;5;4;6;5;10;0;66
270740 Porto de Pedras;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
270750 Porto Real do Colégio;2;0;0;0;2;0;0;0;1;0;0;3;1;5;0;2;0;2;3;0;7;7;0;33
270760 Quebrangulo;1;0;2;0;3;0;0;0;0;2;0;0;1;0;1;0;0;2;0;3;5;8;0;25
270770 Rio Largo;3;2;4;0;9;3;1;0;3;2;0;4;3;3;5;2;6;9;19;19;18;34;0;140
270780 Roteiro;0;0;0;0;0;2;1;0;0;1;0;0;2;1;0;1;1;1;1;0;0;4;1;16
270790 Santa Luzia do Norte;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;3;0;0;9
270800 Santana do Ipanema;0;1;6;0;7;3;1;1;0;2;1;0;3;1;2;4;3;7;2;4;5;35;0;81
270810 Santana do Mundaú;0;1;2;0;3;0;0;0;0;0;2;0;1;1;2;1;0;0;2;2;2;6;0;22
270820 São Brás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;3;1;3;1;12
270830 São José da Laje;1;1;16;0;18;5;0;0;2;0;2;0;0;3;3;2;3;4;6;7;4;14;0;73
270840 São José da Tapera;2;1;5;0;8;2;1;2;1;1;0;1;2;0;2;1;2;2;2;3;2;8;0;40
270850 São Luís do Quitunde;0;1;20;0;21;2;0;1;0;1;2;1;1;3;3;1;4;3;7;4;6;7;0;67
270860 São Miguel dos Campos;0;1;14;0;15;7;2;1;5;2;4;3;2;11;4;6;5;15;10;11;9;32;0;144
270870 São Miguel dos Milagres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
270880 São Sebastião;1;1;4;0;6;5;2;0;3;0;1;0;0;1;0;3;2;0;2;2;5;11;0;43
270890 Satuba;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;2;2;1;1;6;0;16
270895 Senador Rui Palmeira;0;0;2;0;2;0;0;0;0;2;1;0;2;0;3;1;0;0;1;0;0;5;0;17
270900 Tanque d'Arca;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;2;6;0;13
270910 Taquarana;1;0;4;0;5;1;1;0;1;2;1;1;0;3;3;2;3;5;6;4;3;14;0;55
270915 Teotônio Vilela;2;1;15;0;18;0;2;2;2;0;1;1;4;0;3;2;2;1;3;2;2;3;0;48
270920 Traipu;1;0;3;0;4;2;0;2;0;0;0;0;1;2;0;0;2;2;4;2;6;14;0;41
270930 União dos Palmares;2;2;9;0;13;4;1;1;1;1;1;3;5;3;10;8;8;8;16;14;15;44;0;156
270940 Viçosa;1;1;2;0;4;3;1;0;1;0;2;2;1;3;2;0;1;4;9;9;5;26;0;73
270000 Município ignorado - AL;5;0;4;0;9;1;0;0;1;2;0;3;2;1;4;0;5;6;3;2;7;19;0;65
280010 Amparo de São Francisco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4
280020 Aquidabã;2;1;0;0;3;1;1;0;1;0;0;0;1;2;1;1;2;2;4;3;4;18;0;44
280030 Aracaju;125;18;34;0;177;22;7;6;18;21;32;23;30;50;63;59;58;68;91;141;124;313;0;1303
280040 Arauá;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;2;0;3;1;0;10
280050 Areia Branca;1;0;0;0;1;2;0;0;0;0;0;1;1;0;0;0;2;1;3;1;2;6;0;20
280060 Barra dos Coqueiros;1;0;0;0;1;0;0;0;1;1;0;0;2;0;2;2;2;1;2;2;6;4;0;26
280067 Boquim;1;0;3;0;4;1;0;0;2;1;2;0;1;2;3;1;2;4;4;7;4;24;0;62
280070 Brejo Grande;0;0;3;0;3;1;0;1;0;0;0;0;0;1;0;0;0;0;2;1;2;5;0;16
280100 Campo do Brito;1;1;0;0;2;0;0;0;0;1;1;1;0;3;2;0;2;2;5;5;2;13;0;39
280110 Canhoba;4;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;6
280120 Canindé de São Francisco;0;0;6;0;6;2;0;0;1;0;0;1;0;2;0;3;1;0;0;2;1;2;0;21
280130 Capela;2;1;10;0;13;3;1;0;2;2;1;2;4;0;3;1;5;4;2;8;7;11;0;69
280140 Carira;2;0;0;0;2;1;0;2;1;1;0;0;0;0;2;1;4;2;0;1;0;2;0;19
280150 Carmópolis;3;2;2;0;7;0;0;0;0;0;1;0;1;0;0;2;2;1;1;2;0;4;0;21
280160 Cedro de São João;1;0;1;0;2;0;0;0;0;1;0;1;2;0;2;1;1;1;1;2;0;8;0;22
280170 Cristinápolis;1;0;5;0;6;2;0;0;0;0;0;0;0;0;1;0;5;0;0;5;2;5;0;26
280190 Cumbe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;3
280200 Divina Pastora;1;0;1;0;2;0;0;0;0;0;0;0;0;1;1;2;2;0;1;0;0;2;0;11
280210 Estância;7;1;5;0;13;3;1;0;6;4;1;0;3;6;3;8;7;12;16;17;17;34;0;151
280220 Feira Nova;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;5;0;11
280230 Frei Paulo;2;2;1;0;5;0;0;0;1;0;0;0;0;0;0;1;2;0;1;2;2;7;0;21
280240 Gararu;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;8
280250 General Maynard;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;2;0;6
280260 Gracho Cardoso;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
280270 Ilha das Flores;0;0;3;0;3;0;0;0;0;0;0;0;1;0;1;1;0;0;2;2;3;5;0;18
280280 Indiaroba;1;1;1;0;3;2;0;0;1;0;0;0;3;1;1;2;2;1;3;2;2;8;0;31
280290 Itabaiana;9;2;5;1;17;3;4;1;2;1;4;6;3;7;4;7;10;8;15;16;18;57;0;183
280300 Itabaianinha;5;2;2;0;9;1;2;0;1;1;0;2;3;1;2;7;3;11;9;7;7;13;0;79
280310 Itabi;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;1;8;0;18
280320 Itaporanga d'Ajuda;2;0;2;0;4;0;1;1;1;1;2;0;2;0;2;2;2;1;4;3;2;5;0;33
280330 Japaratuba;2;0;3;0;5;1;0;0;0;0;0;0;0;1;0;3;0;1;1;1;2;4;0;19
280340 Japoatã;2;0;8;0;10;3;0;0;1;0;0;1;0;1;0;6;2;2;0;3;5;13;0;47
280350 Lagarto;16;5;3;0;24;1;3;5;4;4;9;6;8;4;8;12;14;13;21;16;16;56;0;224
280360 Laranjeiras;5;3;6;0;14;1;0;0;1;2;0;1;0;2;2;4;1;4;4;2;2;6;0;46
280370 Macambira;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;3;1;7;0;16
280380 Malhada dos Bois;1;0;3;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;9
280390 Malhador;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;3;3;0;10
280400 Maruim;0;0;0;0;0;1;0;1;1;2;2;0;1;0;1;2;2;2;0;1;2;3;0;21
280410 Moita Bonita;3;0;1;0;4;1;2;1;1;2;0;0;0;0;0;1;0;1;2;3;2;5;0;25
280420 Monte Alegre de Sergipe;4;0;0;0;4;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;9
