"","Muni","Age","Death"
"384","110110",20,"  1"
"385","110110",25,"  0"
"386","110110",30,"  0"
"387","110110",35,"  0"
"388","110110",40,"  0"
"389","110110",45,"   1"
"390","110110",50,"   0"
"391","110110",55,"   0"
"392","110110",60,"   0"
"393","110110",65,"   0"
"394","110110",70,"   0"
"395","110110",75,"   0"
"396","110110",80,"   0"
"397","110011",0,"  14"
"398","110011",1,"  3"
"399","110011",5,"  1"
"400","110011",10,"  2"
"401","110011",15,"  1"
"402","110011",20,"  1"
"403","110011",25,"  2"
"404","110011",30,"  1"
"405","110011",35,"  1"
"406","110011",40,"  2"
"407","110011",45,"   2"
"408","110011",50,"   5"
"409","110011",55,"   3"
"410","110011",60,"   1"
"411","110011",65,"  10"
"412","110011",70,"   4"
"413","110011",75,"   7"
"414","110011",80,"  22"
"415","110012",0,"  22"
"416","110012",1,"  3"
"417","110012",5,"  1"
"418","110012",10,"  2"
"419","110012",15,"  2"
"420","110012",20,"  1"
"421","110012",25,"  2"
"422","110012",30,"  4"
"423","110012",35,"  6"
"424","110012",40,"  8"
"425","110012",45,"   6"
"426","110012",50,"   8"
"427","110012",55,"  15"
"428","110012",60,"  12"
"429","110012",65,"  15"
"430","110012",70,"  12"
"431","110012",75,"  15"
"432","110012",80,"  33"
"433","110013",0,"   3"
"434","110013",1,"  0"
"435","110013",5,"  0"
"436","110013",10,"  0"
"437","110013",15,"  0"
"438","110013",20,"  1"
"439","110013",25,"  1"
"440","110013",30,"  0"
"441","110013",35,"  1"
"442","110013",40,"  0"
"443","110013",45,"   2"
"444","110013",50,"   0"
"445","110013",55,"   0"
"446","110013",60,"   0"
"447","110013",65,"   2"
"448","110013",70,"   0"
"449","110013",75,"   0"
"450","110013",80,"   1"
"451","110120",0,"   0"
"452","110120",1,"  1"
"453","110120",5,"  1"
"454","110120",10,"  0"
"455","110120",15,"  1"
"456","110120",20,"  0"
"457","110120",25,"  0"
"458","110120",30,"  1"
"459","110120",35,"  0"
"460","110120",40,"  0"
"461","110120",45,"   0"
"462","110120",50,"   0"
"463","110120",55,"   1"
"464","110120",60,"   0"
"465","110120",65,"   0"
"466","110120",70,"   0"
"467","110120",75,"   1"
"468","110120",80,"   2"
"469","110130",0,"   6"
"470","110130",1,"  1"
"471","110130",5,"  1"
"472","110130",10,"  0"
"473","110130",15,"  0"
"474","110130",20,"  0"
"475","110130",25,"  1"
"476","110130",30,"  1"
"477","110130",35,"  2"
"478","110130",40,"  1"
"479","110130",45,"   1"
"480","110130",50,"   0"
"481","110130",55,"   2"
"482","110130",60,"   2"
"483","110130",65,"   3"
"484","110130",70,"   0"
"485","110130",75,"   2"
"486","110130",80,"   7"
"487","110140",0,"   3"
"488","110140",1,"  1"
"489","110140",5,"  0"
"490","110140",10,"  0"
"491","110140",15,"  0"
"492","110140",20,"  0"
"493","110140",25,"  0"
"494","110140",30,"  0"
"495","110140",35,"  0"
"496","110140",40,"  1"
"497","110140",45,"   0"
"498","110140",50,"   0"
"499","110140",55,"   0"
"500","110140",60,"   3"
"501","110140",65,"   0"
"502","110140",70,"   2"
"503","110140",75,"   0"
"504","110140",80,"   2"
"505","110014",0,"   2"
"506","110014",1,"  1"
"507","110014",5,"  0"
"508","110014",10,"  0"
"509","110014",15,"  0"
"510","110014",20,"  0"
"511","110014",25,"  0"
"512","110014",30,"  0"
"513","110014",35,"  0"
"514","110014",40,"  2"
"515","110014",45,"   1"
"516","110014",50,"   1"
"517","110014",55,"   1"
"518","110014",60,"   2"
"519","110014",65,"   1"
"520","110014",70,"   3"
"521","110014",75,"   0"
"522","110014",80,"   1"
"523","110033",0,"   1"
"524","110033",1,"  0"
"525","110033",5,"  0"
"526","110033",10,"  1"
"527","110033",15,"  2"
"528","110033",20,"  0"
"529","110033",25,"  0"
"530","110033",30,"  2"
"531","110033",35,"  1"
"532","110033",40,"  0"
"533","110033",45,"   2"
"534","110033",50,"   1"
"535","110033",55,"   1"
"536","110033",60,"   2"
"537","110033",65,"   1"
"538","110033",70,"   2"
"539","110033",75,"   0"
"540","110033",80,"   0"
"541","110143",0,"   0"
"542","110143",1,"  0"
"543","110143",5,"  0"
"544","110143",10,"  0"
"545","110143",15,"  0"
"546","110143",20,"  0"
"547","110143",25,"  0"
"548","110143",30,"  0"
"549","110143",35,"  1"
"550","110143",40,"  0"
"551","110143",45,"   2"
"552","110143",50,"   0"
"553","110143",55,"   0"
"554","110143",60,"   0"
"555","110143",65,"   1"
"556","110143",70,"   0"
"557","110143",75,"   0"
"558","110143",80,"   0"
"559","110050",0,"   1"
"560","110050",1,"  0"
"561","110050",5,"  0"
"562","110050",10,"  0"
"563","110050",15,"  0"
"564","110050",20,"  0"
"565","110050",25,"  0"
"566","110050",30,"  0"
"567","110050",35,"  0"
"568","110050",40,"  0"
"569","110050",45,"   1"
"570","110050",50,"   1"
"571","110050",55,"   0"
"572","110050",60,"   0"
"573","110050",65,"   0"
"574","110050",70,"   0"
"575","110050",75,"   1"
"576","110050",80,"   2"
"577","110015",0,"  13"
"578","110015",1,"  2"
"579","110015",5,"  1"
"580","110015",10,"  3"
"581","110015",15,"  1"
"582","110015",20,"  2"
"583","110015",25,"  1"
"584","110015",30,"  0"
"585","110015",35,"  2"
"586","110015",40,"  2"
"587","110015",45,"   0"
"588","110015",50,"   4"
"589","110015",55,"   2"
"590","110015",60,"   7"
"591","110015",65,"   9"
"592","110015",70,"   6"
"593","110015",75,"   5"
"594","110015",80,"  10"
"595","110145",0,"   0"
"596","110145",1,"  0"
"597","110145",5,"  0"
"598","110145",10,"  0"
"599","110145",15,"  0"
"600","110145",20,"  0"
"601","110145",25,"  0"
"602","110145",30,"  0"
"603","110145",35,"  0"
"604","110145",40,"  1"
"605","110145",45,"   0"
"606","110145",50,"   0"
"607","110145",55,"   0"
"608","110145",60,"   0"
"609","110145",65,"   0"
"610","110145",70,"   0"
"611","110145",75,"   0"
"612","110145",80,"   0"
"613","110018",0,"   4"
"614","110018",1,"  3"
"615","110018",5,"  0"
"616","110018",10,"  0"
"617","110018",15,"  2"
"618","110018",20,"  0"
"619","110018",25,"  0"
"620","110018",30,"  1"
"621","110018",35,"  2"
"622","110018",40,"  4"
"623","110018",45,"   3"
"624","110018",50,"   1"
"625","110018",55,"   3"
"626","110018",60,"   3"
"627","110018",65,"   4"
"628","110018",70,"   8"
"629","110018",75,"   4"
"630","110018",80,"   5"
"631","110146",0,"   1"
"632","110146",1,"  0"
"633","110146",5,"  0"
"634","110146",10,"  0"
"635","110146",15,"  0"
"636","110146",20,"  0"
"637","110146",25,"  0"
"638","110146",30,"  0"
"639","110146",35,"  0"
"640","110146",40,"  0"
"641","110146",45,"   0"
"642","110146",50,"   0"
"643","110146",55,"   1"
"644","110146",60,"   0"
"645","110146",65,"   0"
"646","110146",70,"   0"
"647","110146",75,"   0"
"648","110146",80,"   0"
"649","110020",0," 129"
"650","110020",1," 19"
"651","110020",5," 19"
"652","110020",10,"  7"
"653","110020",15," 13"
"654","110020",20," 13"
"655","110020",25," 24"
"656","110020",30," 23"
"657","110020",35," 26"
"658","110020",40," 25"
"659","110020",45,"  30"
"660","110020",50,"  30"
"661","110020",55,"  32"
"662","110020",60,"  41"
"663","110020",65,"  36"
"664","110020",70,"  44"
"665","110020",75,"  43"
"666","110020",80,"  69"
"667","110025",0,"   3"
"668","110025",1,"  0"
"669","110025",5,"  0"
"670","110025",10,"  2"
"671","110025",15,"  0"
"672","110025",20,"  2"
"673","110025",25,"  5"
"674","110025",30,"  0"
"675","110025",35,"  3"
"676","110025",40,"  6"
"677","110025",45,"   1"
"678","110025",50,"   1"
"679","110025",55,"   3"
"680","110025",60,"   6"
"681","110025",65,"   6"
"682","110025",70,"   1"
"683","110025",75,"   6"
"684","110025",80,"  10"
"685","110147",0,"   0"
"686","110147",1,"  0"
"687","110147",5,"  0"
"688","110147",10,"  0"
"689","110147",15,"  0"
"690","110147",20,"  0"
"691","110147",25,"  0"
"692","110147",30,"  0"
"693","110147",35,"  0"
"694","110147",40,"  1"
"695","110147",45,"   1"
"696","110147",50,"   1"
"697","110147",55,"   1"
"698","110147",60,"   0"
"699","110147",65,"   0"
"700","110147",70,"   0"
"701","110147",75,"   0"
"702","110147",80,"   0"
"703","110026",0,"   0"
"704","110026",1,"  0"
"705","110026",5,"  0"
"706","110026",10,"  0"
"707","110026",15,"  0"
"708","110026",20,"  0"
"709","110026",25,"  0"
"710","110026",30,"  0"
"711","110026",35,"  1"
"712","110026",40,"  0"
"713","110026",45,"   0"
"714","110026",50,"   0"
"715","110026",55,"   1"
"716","110026",60,"   0"
"717","110026",65,"   0"
"718","110026",70,"   0"
"719","110026",75,"   0"
"720","110026",80,"   0"
"721","110028",0,"   7"
"722","110028",1,"  2"
"723","110028",5,"  2"
"724","110028",10,"  2"
"725","110028",15,"  2"
"726","110028",20,"  0"
"727","110028",25,"  3"
"728","110028",30,"  1"
"729","110028",35,"  2"
"730","110028",40,"  2"
"731","110028",45,"   2"
"732","110028",50,"   2"
"733","110028",55,"   2"
"734","110028",60,"   6"
"735","110028",65,"   9"
"736","110028",70,"   6"
"737","110028",75,"   5"
"738","110028",80,"   8"
"739","110029",0,"   1"
"740","110029",1,"  0"
"741","110029",5,"  0"
"742","110029",10,"  0"
"743","110029",15,"  0"
"744","110029",20,"  0"
"745","110029",25,"  0"
"746","110029",30,"  0"
"747","110029",35,"  0"
"748","110029",40,"  0"
"749","110029",45,"   0"
"750","110029",50,"   0"
"751","110029",55,"   0"
"752","110029",60,"   1"
"753","110029",65,"   1"
"754","110029",70,"   2"
"755","110029",75,"   1"
"756","110029",80,"   1"
"757","110148",0,"   0"
"758","110148",1,"  0"
"759","110148",5,"  0"
"760","110148",10,"  0"
"761","110148",15,"  0"
"762","110148",20,"  0"
"763","110148",25,"  0"
"764","110148",30,"  0"
"765","110148",35,"  1"
"766","110148",40,"  2"
"767","110148",45,"   0"
"768","110148",50,"   0"
"769","110148",55,"   0"
"770","110148",60,"   0"
"771","110148",65,"   0"
"772","110148",70,"   0"
"773","110148",75,"   0"
"774","110148",80,"   1"
"775","110149",0,"   4"
"776","110149",1,"  0"
"777","110149",5,"  1"
"778","110149",10,"  0"
"779","110149",15,"  0"
"780","110149",20,"  0"
"781","110149",25,"  0"
"782","110149",30,"  0"
"783","110149",35,"  0"
"784","110149",40,"  0"
"785","110149",45,"   0"
"786","110149",50,"   0"
"787","110149",55,"   0"
"788","110149",60,"   0"
"789","110149",65,"   1"
