"","Muni","Age","Death"
"430","110012",70,"  44"
"431","110012",75,"  39"
"432","110012",80,"  60"
"433","110013",0,"   1"
"434","110013",1,"  1"
"435","110013",5," 2"
"436","110013",10,"  2"
"437","110013",15,"  1"
"438","110013",20,"  4"
"439","110013",25,"  5"
"440","110013",30,"  2"
"441","110013",35,"   7"
"442","110013",40,"   6"
"443","110013",45,"   3"
"444","110013",50,"   8"
"445","110013",55,"  12"
"446","110013",60,"   2"
"447","110013",65,"   1"
"448","110013",70,"   5"
"449","110013",75,"   5"
"450","110013",80,"   9"
"451","110120",0,"   0"
"452","110120",1,"  0"
"453","110120",5," 0"
"454","110120",10,"  0"
"455","110120",15,"  1"
"456","110120",20,"  1"
"457","110120",25,"  0"
"458","110120",30,"  0"
"459","110120",35,"   0"
"460","110120",40,"   1"
"461","110120",45,"   1"
"462","110120",50,"   3"
"463","110120",55,"   3"
"464","110120",60,"   3"
"465","110120",65,"   3"
"466","110120",70,"   2"
"467","110120",75,"   0"
"468","110120",80,"  10"
"469","110130",0,"   2"
"470","110130",1,"  0"
"471","110130",5," 1"
"472","110130",10,"  0"
"473","110130",15,"  1"
"474","110130",20,"  1"
"475","110130",25,"  2"
"476","110130",30,"  2"
"477","110130",35,"   0"
"478","110130",40,"   2"
"479","110130",45,"   3"
"480","110130",50,"   1"
"481","110130",55,"   1"
"482","110130",60,"   1"
"483","110130",65,"   2"
"484","110130",70,"   1"
"485","110130",75,"   9"
"486","110130",80,"   6"
"487","110140",0,"   1"
"488","110140",1,"  0"
"489","110140",5," 0"
"490","110140",10,"  0"
"491","110140",15,"  1"
"492","110140",20,"  2"
"493","110140",25,"  3"
"494","110140",30,"  2"
"495","110140",35,"   5"
"496","110140",40,"   4"
"497","110140",45,"   6"
"498","110140",50,"   2"
"499","110140",55,"   1"
"500","110140",60,"   2"
"501","110140",65,"   5"
"502","110140",70,"   4"
"503","110140",75,"   3"
"504","110140",80,"   8"
"505","110014",0,"   1"
"506","110014",1,"  0"
"507","110014",5," 0"
"508","110014",10,"  0"
"509","110014",15,"  0"
"510","110014",20,"  2"
"511","110014",25,"  0"
"512","110014",30,"  2"
"513","110014",35,"   1"
"514","110014",40,"   2"
"515","110014",45,"   2"
"516","110014",50,"   1"
"517","110014",55,"   1"
"518","110014",60,"   3"
"519","110014",65,"   5"
"520","110014",70,"   3"
"521","110014",75,"   3"
"522","110014",80,"  13"
"523","110033",0,"   2"
"524","110033",1,"  0"
"525","110033",5," 0"
"526","110033",10,"  1"
"527","110033",15,"  2"
"528","110033",20,"  2"
"529","110033",25,"  7"
"530","110033",30,"  1"
