Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
320510 Viana;2;1;1;4;3;0;1;14;16;12;10;4;12;11;17;16;17;12;19;18;25;0;211
320515 Vila Pavão;1;0;0;1;1;0;0;0;0;0;0;2;0;1;3;1;2;3;4;3;5;0;26
320517 Vila Valério;2;0;0;2;0;0;1;2;1;2;0;5;2;1;3;1;2;3;0;4;10;1;40
320520 Vila Velha;15;9;12;36;11;6;9;74;58;59;58;40;63;78;81;97;119;108;122;109;242;4;1374
320530 Vitória;13;4;9;26;2;4;6;32;44;44;37;36;33;52;67;88;87;81;83;101;218;1;1042
320000 Município ignorado - ES;0;0;1;1;0;0;0;0;1;1;1;0;0;3;4;1;1;2;4;2;4;2;27
330010 Angra dos Reis;7;6;7;20;1;1;4;17;24;28;21;24;22;31;35;48;53;47;47;44;69;3;539
330015 Aperibé;0;0;0;0;0;0;0;1;1;1;1;2;1;2;0;5;1;5;3;4;14;0;41
330020 Araruama;5;3;3;11;3;1;2;6;17;11;16;14;15;31;32;36;49;43;76;51;98;1;513
330022 Areal;1;0;0;1;0;0;0;0;1;2;2;1;3;5;3;1;4;6;6;6;10;0;51
330023 Armação dos Búzios;1;0;1;2;2;1;0;5;4;2;3;6;7;10;7;14;9;3;15;7;7;1;105
330025 Arraial do Cabo;2;1;0;3;1;0;1;2;1;2;3;2;3;7;12;7;9;19;14;11;18;0;115
330030 Barra do Piraí;8;1;5;14;0;0;1;3;9;7;8;15;18;26;32;46;26;38;29;45;79;1;397
330040 Barra Mansa;14;1;2;17;2;2;4;11;21;22;30;22;32;44;59;52;47;73;79;68;127;2;714
330045 Belford Roxo;26;8;27;61;5;3;7;54;75;62;59;54;75;107;109;150;171;159;174;176;234;3;1738
330050 Bom Jardim;2;0;0;2;1;0;0;3;5;2;3;7;6;8;9;16;10;8;10;11;41;0;142
330060 Bom Jesus do Itabapoana;2;1;1;4;0;1;0;2;4;3;2;3;8;10;11;15;17;13;24;17;46;1;181
330070 Cabo Frio;10;0;2;12;4;4;9;18;25;23;23;27;20;38;52;68;57;79;68;65;112;5;709
330080 Cachoeiras de Macacu;4;0;2;6;1;0;1;1;2;5;13;9;6;20;17;14;20;21;27;20;44;2;229
330090 Cambuci;2;1;0;3;0;0;0;1;2;0;2;0;3;2;6;8;4;8;15;2;21;0;77
330100 Campos dos Goytacazes;30;7;20;57;12;5;10;54;70;78;79;61;89;110;133;156;167;187;194;181;386;0;2029
330110 Cantagalo;1;0;1;2;0;0;0;1;1;1;3;2;4;8;6;5;6;12;7;11;30;1;100
330093 Carapebus;1;0;1;2;0;0;0;0;1;1;1;0;2;4;2;1;3;5;4;2;12;0;40
330115 Cardoso Moreira;0;1;0;1;0;0;0;0;0;0;1;1;0;2;5;3;4;7;7;5;14;0;50
330120 Carmo;1;2;2;5;1;0;0;0;0;1;1;10;0;8;4;4;10;6;13;7;19;0;89
330130 Casimiro de Abreu;1;1;0;2;1;0;0;2;4;2;2;6;3;8;8;7;10;13;16;15;28;0;127
330095 Comendador Levy Gasparian;1;0;0;1;0;0;0;1;1;0;1;2;0;3;2;5;4;6;2;4;7;0;39
330140 Conceição de Macabu;4;1;0;5;0;0;1;3;2;2;1;2;2;7;1;8;6;3;8;10;15;1;77
330150 Cordeiro;0;0;0;0;0;1;2;3;1;1;4;3;3;9;3;2;5;5;10;11;23;0;86
330160 Duas Barras;1;0;1;2;1;0;0;0;3;0;1;1;1;2;4;8;3;2;2;3;7;0;40
330170 Duque de Caxias;66;19;49;134;17;14;20;118;157;136;115;131;139;191;260;338;347;353;365;304;438;0;3577
330180 Engenheiro Paulo de Frontin;1;0;0;1;0;0;0;0;0;1;2;3;3;3;7;5;8;6;7;8;12;0;66
330185 Guapimirim;3;0;4;7;1;0;0;3;5;4;9;6;9;14;24;22;12;16;15;23;37;1;208
330187 Iguaba Grande;1;1;0;2;1;0;1;0;2;3;5;4;3;4;2;15;8;15;14;17;25;0;121
330190 Itaboraí;7;7;7;21;2;2;5;25;30;24;31;27;41;50;71;81;80;94;84;85;132;17;902
330200 Itaguaí;8;2;6;16;1;1;2;13;16;18;17;21;16;24;30;37;43;45;34;43;60;1;438
330205 Italva;0;0;0;0;0;0;0;1;0;0;1;3;1;3;5;6;4;8;6;9;16;0;63
330210 Itaocara;1;0;0;1;0;0;1;1;2;6;5;1;4;7;9;8;13;12;10;15;44;0;139
330220 Itaperuna;3;2;3;8;0;0;5;3;13;6;8;11;11;18;28;23;38;29;36;27;106;4;374
330225 Itatiaia;1;1;0;2;1;1;0;2;2;6;3;4;6;4;4;11;7;8;9;5;22;0;97
330227 Japeri;7;5;5;17;1;1;2;5;21;9;13;8;17;25;27;39;45;31;32;32;41;1;367
330230 Laje do Muriaé;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;4;1;0;4;2;11;0;27
330240 Macaé;9;4;9;22;3;1;4;28;29;27;19;32;20;39;44;60;42;48;57;42;78;4;599
330245 Macuco;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3;2;3;3;3;8;0;26
330250 Magé;14;4;8;26;1;2;3;23;24;28;23;40;41;58;69;91;94;94;93;96;157;1;964
330260 Mangaratiba;3;1;0;4;0;0;0;7;2;2;5;3;4;10;6;22;22;11;20;16;23;1;158
330270 Maricá;3;1;5;9;1;1;1;5;12;4;11;12;20;22;34;33;48;62;66;56;93;0;490
330280 Mendes;2;0;0;2;1;0;0;0;0;4;2;2;5;4;5;8;7;7;18;11;19;0;95
330285 Mesquita;10;5;5;20;2;2;5;14;14;13;16;28;20;30;48;55;72;66;68;53;89;2;617
330290 Miguel Pereira;3;0;0;3;1;0;1;2;2;3;2;2;7;6;8;13;10;14;17;18;31;0;140
330300 Miracema;1;1;3;5;1;0;0;2;3;3;1;8;1;8;12;13;14;14;11;15;28;0;139
330310 Natividade;2;0;0;2;0;1;0;0;4;0;1;1;3;4;5;4;10;3;11;8;20;0;77
330320 Nilópolis;7;2;2;11;3;1;4;17;28;26;25;24;28;38;68;70;88;87;94;85;107;5;809
330330 Niterói;18;7;12;37;11;1;6;27;43;52;36;29;60;85;131;151;186;202;244;291;567;3;2162
330340 Nova Friburgo;8;2;5;15;14;23;16;18;23;27;31;38;48;60;62;67;71;94;74;79;190;12;962
330350 Nova Iguaçu;75;14;48;137;15;9;11;54;96;90;99;93;121;193;227;307;345;343;338;295;493;15;3281
330360 Paracambi;1;1;1;3;0;2;0;1;1;4;7;6;5;10;9;21;16;19;19;21;24;0;168
330370 Paraíba do Sul;1;0;1;2;1;0;2;4;3;6;2;4;5;10;17;17;11;14;28;20;39;0;185
330380 Paraty;5;2;0;7;1;1;0;6;5;2;6;4;3;6;7;5;17;5;11;10;22;0;118
330385 Paty do Alferes;1;2;1;4;0;1;0;2;4;4;3;3;3;4;6;9;6;6;9;15;26;0;105
330390 Petrópolis;21;8;4;33;7;8;8;12;17;23;29;38;57;79;121;106;148;134;135;150;276;1;1382
