Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
220250 Caracol;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;1;1;0;3;2;7;0;18
220253 Caraúbas do Piauí;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;1;0;1;3;2;2;0;14
220255 Caridade do Piauí;2;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;1;3;1;2;0;11
220260 Castelo do Piauí;2;0;0;2;3;0;1;1;3;2;1;3;1;5;4;5;3;4;4;3;18;0;63
220265 Caxingó;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;6
220270 Cocal;8;1;0;9;0;1;1;4;2;1;3;0;5;0;2;3;7;4;9;12;20;0;83
220271 Cocal de Telha;0;0;0;0;1;0;0;0;0;1;1;2;1;0;1;1;0;0;1;1;4;0;14
220272 Cocal dos Alves;2;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;2;1;3;0;11
220273 Coivaras;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;3;0;8
220275 Colônia do Gurguéia;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;2;2;1;0;0;5;0;16
220277 Colônia do Piauí;1;0;0;1;0;2;0;0;1;0;0;0;1;1;1;2;2;2;1;4;6;0;24
220280 Conceição do Canindé;1;0;0;1;0;0;1;0;0;0;3;1;0;0;0;1;1;0;0;3;3;0;14
220285 Coronel José Dias;0;0;0;0;0;0;0;0;3;0;2;0;2;0;0;1;1;3;1;2;7;0;22
220290 Corrente;0;2;1;3;1;0;2;4;4;3;5;3;5;4;2;3;5;5;6;2;18;0;75
220300 Cristalândia do Piauí;1;0;0;1;1;0;0;0;0;1;0;3;2;1;0;0;1;2;2;2;5;0;21
220310 Cristino Castro;0;0;0;0;0;0;2;1;1;2;1;2;1;0;2;2;2;3;1;5;13;0;38
220320 Curimatá;0;0;0;0;0;0;1;0;2;0;2;2;2;1;1;2;0;3;3;4;9;0;32
220323 Currais;0;0;1;1;0;0;0;0;1;1;0;0;0;3;0;0;0;1;0;0;2;0;9
220327 Curral Novo do Piauí;1;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;6
220325 Curralinhos;1;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;1;1;0;7
220330 Demerval Lobão;0;1;0;1;0;0;1;1;4;1;3;4;1;3;2;1;4;2;6;5;15;0;54
220335 Dirceu Arcoverde;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;5;0;12
220340 Dom Expedito Lopes;0;0;1;1;0;0;0;0;2;0;0;2;0;0;3;0;3;1;0;1;8;0;21
220345 Dom Inocêncio;1;0;0;1;0;0;0;1;1;0;0;0;0;5;0;1;2;3;1;1;11;0;27
220342 Domingos Mourão;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;2;0;4;0;11
220350 Elesbão Veloso;0;2;0;2;0;0;0;0;1;3;2;3;2;5;3;3;1;6;4;10;17;0;62
220360 Eliseu Martins;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;3;6;0;14
220370 Esperantina;4;0;2;6;1;0;0;1;2;2;3;2;6;6;2;6;8;9;9;10;27;0;100
220375 Fartura do Piauí;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;1;0;7
220380 Flores do Piauí;0;0;0;0;0;0;0;1;0;2;0;1;2;1;1;0;2;1;1;0;3;0;15
220385 Floresta do Piauí;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;7
220390 Floriano;8;1;2;11;3;0;2;1;4;9;5;8;9;9;8;8;12;14;27;17;35;0;182
220400 Francinópolis;1;0;0;1;0;0;0;1;1;2;1;0;2;1;0;3;1;3;2;4;4;0;26
220410 Francisco Ayres;0;0;0;0;0;0;0;0;1;1;0;3;0;0;1;1;1;2;2;2;5;0;19
220415 Francisco Macedo;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;2;0;9
220420 Francisco Santos;0;0;2;2;0;0;0;0;1;4;1;1;1;0;0;0;0;1;2;2;9;0;24
220430 Fronteiras;2;1;1;4;0;0;0;0;2;3;0;2;1;1;3;4;0;1;4;4;7;0;36
220435 Geminiano;0;0;0;0;1;0;1;1;1;0;1;1;0;2;0;0;1;0;3;2;2;0;16
220440 Gilbués;1;0;1;2;1;0;0;0;1;3;1;2;1;1;6;1;1;1;1;2;8;0;32
220450 Guadalupe;1;0;0;1;1;0;0;0;0;1;2;1;0;0;1;3;0;0;2;4;3;0;19
220455 Guaribas;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;8
220460 Hugo Napoleão;0;0;0;0;0;0;0;0;2;0;0;1;0;1;2;1;1;2;1;3;2;0;16
220465 Ilha Grande;1;0;0;1;0;1;0;0;1;0;1;2;3;1;0;3;2;2;1;4;9;0;31
220470 Inhuma;2;1;0;3;0;1;1;2;0;2;0;1;1;1;1;1;2;4;3;5;10;0;38
220480 Ipiranga do Piauí;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;4;4;4;3;11;0;31
220490 Isaías Coelho;0;0;0;0;0;0;0;0;1;1;1;0;3;1;2;1;5;1;3;3;6;0;28
220500 Itainópolis;0;0;0;0;0;0;0;1;1;1;0;1;0;4;1;2;1;3;3;2;8;0;28
220510 Itaueira;1;0;0;1;0;0;1;0;2;0;0;2;0;0;2;1;2;2;4;3;10;0;30
220515 Jacobina do Piauí;3;0;0;3;0;0;0;0;2;0;1;1;1;1;1;3;1;1;1;1;4;0;21
220520 Jaicós;2;1;2;5;1;0;0;2;0;3;2;2;1;0;3;3;1;3;8;3;13;0;50
220525 Jardim do Mulato;0;0;0;0;0;0;0;0;0;1;0;1;2;1;2;0;1;1;2;0;3;0;14
220527 Jatobá do Piauí;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;4;6;0;18
220530 Jerumenha;0;0;0;0;0;0;1;0;0;0;3;1;1;1;2;2;1;0;0;1;0;0;13
220535 João Costa;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3
220540 Joaquim Pires;0;0;0;0;1;0;1;1;0;0;0;0;1;2;3;0;6;5;1;2;9;0;32
220545 Joca Marques;0;0;1;1;0;0;0;0;0;0;1;0;2;0;2;1;1;2;3;1;1;0;15
220550 José de Freitas;2;1;1;4;0;2;1;0;0;3;5;6;2;4;5;8;5;7;9;9;26;0;96
220551 Juazeiro do Piauí;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;5
220552 Júlio Borges;2;0;0;2;0;0;0;1;0;0;0;0;1;0;1;0;0;0;2;1;4;0;12
220553 Jurema;1;0;2;3;0;0;0;1;0;0;0;0;0;0;1;1;2;0;2;1;3;0;14
220555 Lagoa Alegre;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;2;3;1;8;0;19
220557 Lagoa de São Francisco;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;1;1;1;1;3;6;0;18
220556 Lagoa do Barro do Piauí;1;0;0;1;0;0;0;1;0;2;0;0;1;0;0;1;2;1;0;1;2;0;12
220558 Lagoa do Piauí;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;1;2;1;1;2;0;12
220559 Lagoa do Sítio;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;2;0;1;1;4;0;13
220554 Lagoinha do Piauí;1;1;1;3;0;0;1;0;1;0;0;0;0;0;0;1;1;2;0;0;1;0;10
220560 Landri Sales;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;1;2;2;3;3;0;17
220570 Luís Correia;6;0;0;6;1;0;1;4;4;2;4;6;3;4;4;4;7;5;8;11;14;0;88
220580 Luzilândia;0;1;0;1;1;0;0;0;2;2;3;4;1;5;3;4;3;5;9;5;21;0;69
220585 Madeiro;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3;3;5;0;15
220590 Manoel Emídio;2;0;1;3;0;0;0;1;0;5;0;2;0;2;0;0;2;0;1;2;5;0;23
220595 Marcolândia;0;0;1;1;0;0;0;1;1;1;0;3;1;1;0;1;1;1;2;1;7;0;22
220600 Marcos Parente;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;3;0;12
220605 Massapê do Piauí;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;1;2;0;2;10;0;19
220610 Matias Olímpio;0;0;0;0;0;0;0;1;2;0;0;0;1;2;0;3;0;0;1;3;11;0;24
220620 Miguel Alves;2;0;2;4;1;0;1;0;3;0;1;3;2;2;0;6;10;8;14;13;26;0;94
220630 Miguel Leão;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;7
220635 Milton Brandão;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;4;3;0;13
220640 Monsenhor Gil;1;0;0;1;0;0;0;1;2;1;1;2;1;1;1;3;0;2;2;2;8;0;28
220650 Monsenhor Hipólito;1;0;0;1;0;0;0;1;1;1;0;1;0;1;2;1;0;0;0;3;8;0;20
220660 Monte Alegre do Piauí;3;0;0;3;0;0;0;0;3;3;0;0;0;2;3;0;0;2;1;2;7;0;26
220665 Morro Cabeça no Tempo;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;1;0;1;1;0;8
220667 Morro do Chapéu do Piauí;1;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;3;1;5;1;0;15
220669 Murici dos Portelas;1;0;0;1;0;0;0;0;1;0;0;1;1;0;3;1;2;1;0;1;1;0;13
220670 Nazaré do Piauí;0;1;0;1;1;0;0;2;1;0;1;0;0;1;1;1;2;1;6;5;8;0;31
220672 Nazária;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;2;0;2;4;2;4;1;20
220675 Nossa Senhora de Nazaré;1;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;3;0;1;4;0;12
220680 Nossa Senhora dos Remédios;0;0;1;1;0;0;0;0;2;1;1;1;0;0;2;1;1;2;4;2;5;0;23
220795 Nova Santa Rita;1;0;1;2;0;0;0;0;1;0;1;0;0;1;0;1;1;2;1;2;1;0;13
220690 Novo Oriente do Piauí;0;0;0;0;0;0;0;0;1;1;1;0;0;1;2;1;3;3;0;2;10;0;25
220695 Novo Santo Antônio;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;1;0;1;3;0;10
220700 Oeiras;7;0;1;8;3;1;1;1;2;3;4;3;6;5;4;15;11;9;13;8;37;0;134
220710 Olho D'Água do Piauí;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;4
220720 Padre Marcos;2;0;1;3;1;0;0;0;0;1;1;1;1;1;1;0;2;1;2;1;12;0;28
220730 Paes Landim;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;1;4;0;10
220735 Pajeú do Piauí;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;1;0;3;0;9
220740 Palmeira do Piauí;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;2;0;2;2;1;0;11
220750 Palmeirais;1;1;1;3;0;1;0;0;1;2;1;1;1;1;1;2;2;2;6;4;9;0;37
220755 Paquetá;1;0;0;1;0;0;0;0;1;1;0;1;0;2;0;2;1;0;1;0;0;0;10
220760 Parnaguá;0;0;2;2;0;0;0;0;0;1;1;0;2;0;2;2;2;2;1;4;8;0;27
220770 Parnaíba;20;1;4;25;4;2;1;7;14;26;18;22;28;16;22;26;32;47;38;65;125;1;519
220775 Passagem Franca do Piauí;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;0;7;0;16
220777 Patos do Piauí;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;5;1;7;0;19
220779 Pau D'Arco do Piauí;1;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;2;1;2;0;3;0;13
220780 Paulistana;4;0;0;4;0;1;0;0;0;3;4;4;1;3;2;4;2;4;5;3;9;0;49
220785 Pavussu;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;4;0;7
220790 Pedro II;2;0;0;2;0;0;1;2;5;4;7;5;7;3;4;5;11;10;15;16;39;0;136
220793 Pedro Laurentino;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;3
220800 Picos;10;2;1;13;3;1;3;6;9;11;10;7;15;9;20;13;15;16;15;19;37;0;222
220810 Pimenteiras;0;2;1;3;0;0;0;0;1;1;0;0;1;0;0;0;2;0;4;4;8;0;24
220820 Pio IX;1;1;0;2;1;0;0;0;1;2;1;4;5;0;0;0;3;3;1;6;12;0;41
220830 Piracuruca;1;0;1;2;1;0;1;3;3;3;3;2;3;5;2;8;7;11;5;14;19;0;92
220840 Piripiri;1;0;1;2;4;1;0;2;8;6;2;4;5;6;13;12;12;23;26;24;51;0;201
220850 Porto;3;0;4;7;0;0;0;1;2;1;1;2;4;1;2;2;3;3;6;5;9;0;49
220855 Porto Alegre do Piauí;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;4
220860 Prata do Piauí;1;0;0;1;0;0;0;0;2;0;0;1;1;0;0;1;2;0;3;1;2;0;14
220865 Queimada Nova;0;1;0;1;0;0;0;0;0;0;1;2;1;1;1;0;0;2;2;2;3;0;16
220870 Redenção do Gurguéia;0;1;1;2;1;1;0;0;0;1;0;0;0;2;3;0;5;2;3;3;3;1;27
220880 Regeneração;4;0;0;4;1;0;0;2;1;1;0;0;2;3;2;3;4;9;4;8;18;0;62
220885 Riacho Frio;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;3;0;7
220887 Ribeira do Piauí;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;3;1;0;0;0;9
220890 Ribeiro Gonçalves;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;1;1;5;0;0;12
220900 Rio Grande do Piauí;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;3;2;0;7;0;17
220910 Santa Cruz do Piauí;0;0;0;0;1;0;0;0;1;0;0;4;1;0;1;0;0;1;2;1;4;0;16
220915 Santa Cruz dos Milagres;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;3;0;13
220920 Santa Filomena;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;2;2;2;1;2;5;0;18
220930 Santa Luz;0;0;0;0;0;0;1;0;0;2;0;2;0;1;0;0;0;3;2;2;2;0;15
220937 Santa Rosa do Piauí;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;5;4;5;0;18
220935 Santana do Piauí;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;0;0;0;4;0;9
220940 Santo Antônio de Lisboa;1;1;0;2;0;0;0;0;1;0;1;0;3;1;1;1;0;1;0;0;6;0;17
220945 Santo Antônio dos Milagres;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;6
220950 Santo Inácio do Piauí;1;0;2;3;0;0;0;0;0;1;0;0;1;0;2;3;3;2;2;2;4;0;23
220955 São Braz do Piauí;0;0;1;1;0;0;0;1;1;0;0;2;2;0;0;0;1;0;1;2;4;0;15
220960 São Félix do Piauí;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;2;1;2;3;2;0;15
220965 São Francisco de Assis do Piauí;0;0;0;0;1;0;0;1;0;2;2;1;0;1;0;0;0;1;1;0;4;0;14
220970 São Francisco do Piauí;0;0;2;2;0;1;0;1;0;1;0;0;3;0;2;3;1;1;0;3;10;0;28
220975 São Gonçalo do Gurguéia;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;2;0;7
220980 São Gonçalo do Piauí;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;1;3;3;0;3;2;0;18
220985 São João da Canabrava;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;1;2;3;2;2;7;0;22
220987 São João da Fronteira;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;0;2;2;1;4;0;14
220990 São João da Serra;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;2;2;4;0;5;0;18
220995 São João da Varjota;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3;1;3;5;4;3;0;22
220997 São João do Arraial;0;0;0;0;0;1;0;1;1;1;0;0;0;1;3;1;0;1;0;2;5;0;17
221000 São João do Piauí;2;0;0;2;1;0;0;0;0;3;6;2;0;4;3;8;6;4;5;4;15;0;63
221005 São José do Divino;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;3;0;3;0;12
221010 São José do Peixe;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;4;1;1;3;0;13
221020 São José do Piauí;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;5;5;8;0;24
221030 São Julião;1;0;0;1;0;0;0;0;1;1;1;0;1;3;1;1;1;2;4;3;9;0;29
221035 São Lourenço do Piauí;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;4;7;0;16
221037 São Luis do Piauí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;6;0;11
221038 São Miguel da Baixa Grande;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;2;0;7
221039 São Miguel do Fidalgo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3
221040 São Miguel do Tapuio;1;0;0;1;0;0;0;3;1;3;1;0;1;1;2;0;3;1;6;7;13;0;43
221050 São Pedro do Piauí;1;0;0;1;1;0;0;0;2;1;2;1;5;4;3;5;2;4;10;5;17;0;63
221060 São Raimundo Nonato;3;0;0;3;1;2;1;0;6;1;4;3;4;4;6;2;9;1;6;8;29;0;90
221062 Sebastião Barros;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;2;0;8
221063 Sebastião Leal;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;8
221065 Sigefredo Pacheco;1;1;0;2;0;0;0;1;0;1;0;0;1;1;0;2;3;2;2;5;6;0;26
221070 Simões;1;0;0;1;0;1;1;1;1;1;1;1;1;3;1;2;1;3;3;4;4;0;30
221080 Simplício Mendes;1;0;1;2;0;1;1;0;0;3;4;2;4;2;3;2;7;3;3;4;12;0;53
221090 Socorro do Piauí;0;0;1;1;1;0;1;0;0;1;1;0;2;2;0;3;0;1;1;0;3;0;17
221093 Sussuapara;0;0;0;0;0;0;0;2;4;0;1;1;1;0;1;1;2;5;2;3;9;0;32
221095 Tamboril do Piauí;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;2;3;1;2;0;12
221097 Tanque do Piauí;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;6
221100 Teresina;67;28;31;126;14;13;18;80;134;123;130;98;107;118;156;171;196;204;241;227;466;1;2623
221110 União;6;1;2;9;1;0;2;2;6;5;5;2;3;2;4;6;6;10;7;6;28;0;104
221120 Uruçuí;0;1;1;2;0;1;0;1;1;2;1;0;8;6;2;5;7;4;4;9;12;0;65
221130 Valença do Piauí;2;0;1;3;0;0;1;3;1;2;2;0;3;6;8;3;5;11;9;9;24;0;90
221135 Várzea Branca;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;1;3;0;10
221140 Várzea Grande;3;0;1;4;0;0;0;1;1;0;0;3;0;0;3;3;1;0;2;3;4;0;25
221150 Vera Mendes;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;5;0;11
221160 Vila Nova do Piauí;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;4;0;11
221170 Wall Ferraz;0;0;0;0;0;0;0;0;0;1;1;1;0;2;1;1;0;3;0;0;1;0;11
220000 Município ignorado - PI;2;1;0;3;0;0;0;0;0;0;0;0;1;1;1;1;0;2;1;2;0;11;23
230010 Abaiara;1;0;0;1;0;0;0;0;1;1;2;1;0;0;0;1;1;1;0;3;3;0;15
230015 Acarape;0;2;1;3;0;0;0;3;5;2;1;3;2;2;5;1;1;1;2;2;11;0;44
230020 Acaraú;4;0;1;5;2;2;2;4;7;11;6;10;5;8;11;6;13;4;17;18;40;0;171
230030 Acopiara;4;0;1;5;0;0;2;5;9;6;5;5;10;5;2;11;5;19;13;19;62;0;183
230040 Aiuaba;3;1;0;4;0;0;0;1;4;1;1;2;1;1;2;0;4;1;4;5;15;0;46
230050 Alcântaras;0;0;0;0;0;0;0;2;1;1;2;1;2;2;0;1;1;2;1;2;8;0;26
230060 Altaneira;2;1;0;3;1;1;0;0;2;0;1;0;3;1;1;0;2;2;3;3;8;0;31
230070 Alto Santo;2;0;0;2;0;0;0;0;2;2;1;2;2;4;2;0;3;3;0;3;16;0;42
230075 Amontada;1;0;1;2;0;2;1;2;2;7;4;2;4;6;4;7;7;12;11;13;36;0;122
230080 Antonina do Norte;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;3;2;5;0;17
230090 Apuiarés;1;0;0;1;0;0;0;2;1;0;0;0;2;3;0;2;5;1;1;5;14;0;37
230100 Aquiraz;2;1;4;7;0;0;1;5;12;10;12;15;5;13;19;7;20;8;22;18;44;0;218
230110 Aracati;2;1;1;4;3;0;0;3;9;7;8;10;8;10;13;14;21;15;18;16;48;0;207
230120 Aracoiaba;1;1;0;2;0;0;1;1;1;2;7;2;1;1;5;4;5;3;5;8;29;0;77
230125 Ararendá;0;0;0;0;1;0;0;1;1;1;1;2;0;6;3;1;3;4;3;4;13;0;44
230130 Araripe;3;2;1;6;2;0;1;0;3;3;0;4;2;4;7;6;2;7;8;6;14;0;75
230140 Aratuba;0;0;0;0;3;1;0;2;3;5;0;1;4;0;3;3;1;1;8;3;11;0;49
230150 Arneiroz;0;0;1;1;0;0;0;2;0;0;1;2;0;0;1;2;1;1;3;2;8;0;24
230160 Assaré;0;0;1;1;2;0;0;1;3;1;5;5;2;4;2;0;3;3;10;7;17;0;66
230170 Aurora;1;0;2;3;0;0;1;2;3;1;2;2;3;4;3;4;8;3;11;11;27;0;88
230180 Baixio;2;0;0;2;0;0;0;1;1;1;0;1;0;1;1;3;1;4;2;1;3;0;22
230185 Banabuiú;0;1;0;1;0;1;0;0;2;0;1;2;1;1;2;2;2;4;6;7;17;0;49
230190 Barbalha;4;3;1;8;1;0;1;6;6;8;14;7;10;8;4;8;19;17;24;18;46;0;205
230195 Barreira;0;1;1;2;0;0;1;0;2;2;3;6;2;1;3;3;5;5;6;6;22;0;69
230200 Barro;4;1;0;5;1;0;0;2;2;3;3;4;7;4;3;3;6;7;5;8;19;0;82
230205 Barroquinha;0;1;1;2;0;1;0;1;2;1;2;2;2;2;3;2;6;6;5;3;11;0;51
230210 Baturité;6;1;0;7;0;2;1;3;5;3;1;4;2;7;9;10;6;6;7;12;43;1;129
230220 Beberibe;2;2;2;6;2;0;0;2;2;5;4;7;6;8;8;2;11;11;11;13;43;0;141
230230 Bela Cruz;4;1;1;6;1;0;1;1;5;5;2;4;6;5;4;4;9;6;9;12;29;0;109
230240 Boa Viagem;4;1;3;8;1;2;1;4;6;6;8;6;12;10;9;16;11;9;11;13;70;0;203
230250 Brejo Santo;1;2;2;5;0;1;1;1;8;9;11;6;3;5;6;5;10;11;12;15;30;0;139
230260 Camocim;3;1;1;5;0;0;0;5;3;7;7;4;3;6;13;7;12;13;22;16;42;0;165
230270 Campos Sales;2;2;1;5;2;0;0;7;2;3;5;3;6;0;4;3;6;11;10;6;20;1;94
230280 Canindé;4;3;1;8;0;0;2;7;8;11;10;11;7;18;15;13;17;18;24;31;75;0;275
230290 Capistrano;0;0;1;1;0;1;1;1;1;2;1;3;3;0;1;3;3;2;4;3;20;0;50
230300 Caridade;0;0;1;1;0;0;0;1;1;1;2;3;4;4;3;3;3;9;9;10;11;0;65
230310 Cariré;2;1;0;3;0;0;0;1;2;1;1;2;2;4;0;4;6;8;8;8;22;0;72
230320 Caririaçu;0;0;0;0;1;0;0;2;2;5;4;2;2;4;2;0;10;4;13;9;30;0;90
230330 Cariús;0;0;1;1;1;2;0;1;2;3;1;3;3;4;2;0;7;6;6;6;31;0;79
230340 Carnaubal;0;0;1;1;0;0;1;2;1;0;2;4;3;6;2;1;2;4;5;13;21;0;68
230350 Cascavel;1;1;0;2;0;1;0;5;8;6;10;5;9;9;13;9;13;13;15;16;73;0;207
230360 Catarina;2;0;2;4;0;0;0;1;1;1;1;2;1;0;2;2;0;4;3;8;14;0;44
230365 Catunda;0;0;1;1;0;0;0;1;1;0;1;0;0;0;2;3;6;1;0;3;11;0;30
230370 Caucaia;14;2;14;30;7;6;8;31;51;49;52;44;47;55;55;35;55;78;70;60;148;8;889
230380 Cedro;1;3;2;6;0;0;0;3;3;3;5;2;2;4;4;4;8;4;12;9;35;0;104
230390 Chaval;0;0;0;0;0;0;1;2;1;1;1;1;0;2;1;2;2;4;4;5;9;0;36
230393 Choró;2;0;1;3;1;0;0;1;0;2;0;1;0;2;3;5;3;2;5;5;14;0;47
230395 Chorozinho;0;0;0;0;0;0;0;1;2;3;3;4;1;1;2;3;6;4;6;3;20;0;59
230400 Coreaú;1;0;0;1;1;0;0;2;2;1;2;5;6;2;2;1;5;2;2;8;24;0;66
230410 Crateús;7;2;0;9;1;2;1;6;6;11;7;10;9;11;19;19;22;22;23;23;83;0;284
230420 Crato;14;7;4;25;2;3;3;6;18;23;18;22;24;21;28;21;30;37;40;37;89;0;447
230423 Croatá;0;0;0;0;0;0;0;2;2;1;3;2;1;3;2;3;5;5;7;9;19;0;64
230425 Cruz;2;1;1;4;0;0;0;3;2;1;5;2;3;3;6;3;4;3;2;3;17;0;61
230426 Deputado Irapuan Pinheiro;2;1;0;3;0;0;0;0;0;1;0;3;0;2;1;3;0;4;7;4;12;0;40
230427 Ererê;0;0;1;1;0;0;0;0;0;1;0;2;1;2;2;4;1;1;2;3;5;0;25
230428 Eusébio;5;1;1;7;1;0;1;9;3;6;6;7;7;6;6;10;13;10;9;8;28;0;137
230430 Farias Brito;0;0;0;0;0;0;0;0;0;2;0;3;1;2;4;7;6;3;8;14;16;0;66
230435 Forquilha;1;0;1;2;1;0;0;1;3;1;1;1;3;3;5;2;4;4;7;6;13;0;57
230440 Fortaleza;139;34;91;264;55;29;46;376;433;324;322;306;335;433;398;462;548;554;602;649;1471;81;7688
230445 Fortim;1;0;0;1;0;0;1;1;1;1;3;4;0;1;2;2;2;1;7;6;9;0;42
230450 Frecheirinha;3;1;0;4;0;0;2;1;2;2;1;1;0;0;2;0;4;0;4;3;10;0;36
230460 General Sampaio;0;0;1;1;0;0;0;0;0;1;0;0;2;2;2;0;1;2;4;5;7;0;27
230465 Graça;0;0;0;0;1;0;1;0;2;2;0;0;1;2;3;1;3;6;4;5;15;0;46
230470 Granja;4;3;0;7;2;1;1;2;4;8;7;3;3;6;10;10;8;13;17;18;37;0;157
230480 Granjeiro;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;5;0;9
230490 Groaíras;0;2;0;2;1;0;1;0;2;1;0;0;1;2;1;0;1;3;2;3;9;0;29
